Area KmSq,Perimeter m,Latitude,Longitude,ID,Town,Tree Count,Ash,Atlantic white cedar,Basswood,Beech,Birch,Black gum/sweet gum,Cedar/juniper,Cherry,Chestnut,Dogwood,Elm,Fir,Hemlock,Hickory,Ironwood,Maple,Oak,Other hardwood,Pine,Poplar,Tulip poplar,Spruce,Sycamore,Tamarack,Walnut
97.8887,48016.65114,40.05,-79.39,37,Salt Lick,379,3,0,4,7,8,7,0,3,60,8,0,0,0,20,5,31,174,22,0,0,24,0,0,0,3
157.117,53646.07536,39.98,-79.45,38,Springfie,341,2,0,2,6,9,4,0,2,73,5,0,0,1,24,0,21,163,19,0,0,10,0,0,0,0
81.9793,51943.78504,39.75,-79.85,39,Springhil,351,9,0,2,14,3,4,0,0,22,19,5,0,0,39,3,18,180,18,0,0,6,0,5,0,4
112.532,47327.59066,40.08,-79.51,40,Bullskin,229,3,0,1,4,1,6,0,3,17,10,2,0,0,21,0,10,132,10,0,0,9,0,0,0,0
259.629,73351.08526,39.8,-79.61,41,Wharton,443,2,0,0,2,7,12,0,4,61,6,0,0,0,6,3,27,289,14,3,0,7,0,0,0,0
108.146,42677.85678,40.05,-79.22,42,Jefferson,242,3,0,1,6,4,1,0,2,52,4,2,0,0,10,4,27,101,18,0,0,3,0,0,0,4
90.9043,38657.50775,39.84,-78.88,43,Northampt,239,4,0,1,11,3,0,0,0,23,11,0,0,7,2,1,33,124,7,11,0,1,0,0,0,0
92.7695,45823.93726,40.2,-78.73,44,Ogle Twp_,113,0,0,0,36,9,0,0,2,13,0,0,0,14,3,0,19,13,2,0,0,1,0,0,0,1
115.812,57165.12251,40.08,-80.2,45,Amwell Tw,624,15,0,2,11,0,7,0,10,1,32,7,0,0,86,7,22,400,11,0,0,2,0,5,0,6
124.705,53701.48865,40.44,-80.46,46,Hanover T,416,8,0,1,2,0,5,0,10,2,10,2,0,0,61,14,8,285,6,0,0,0,0,1,0,1
107.65,46998.30724,40.14,-80.47,47,Donegal T,392,5,0,0,6,0,8,0,2,4,20,5,0,0,43,4,17,266,2,0,0,1,0,4,0,5
154.592,56820.2998,39.91,-80.45,48,Rich Hill,228,5,0,2,3,0,7,0,0,1,14,0,0,0,22,3,22,136,0,0,0,9,0,1,0,3
130.993,47397.93539,39.88,-79.48,49,Stewart,345,3,0,5,4,7,12,0,0,56,18,2,0,3,12,0,34,150,16,2,0,20,0,0,0,1
137.998,59405.94638,39.78,-79.45,50,Henry Cla,239,2,0,1,6,4,2,0,0,35,7,1,0,0,14,0,10,140,10,0,0,6,0,0,0,1
100.383,50968.1663,39.87,-79.36,51,Lower Tur,308,5,0,4,5,6,0,0,2,38,2,5,0,0,27,0,23,165,14,0,0,7,0,1,0,4
89.202,40094.73117,39.97,-79.27,52,Middle Cr,216,5,0,1,4,1,1,0,2,27,5,0,0,0,10,4,33,83,37,0,0,2,0,0,0,1
101.631,56721.24534,39.89,-79.27,53,Upper Tur,345,10,0,2,9,3,1,0,1,42,23,0,0,4,26,5,36,156,14,0,0,12,0,0,0,1
173.409,53131.24828,40.02,-79.07,54,Somerset,357,4,0,1,0,5,2,0,11,39,6,1,0,3,15,4,33,195,19,18,0,1,0,0,0,0
164.84,54120.17877,39.91,-78.98,55,Brothers,524,6,0,0,1,6,1,0,30,29,0,0,0,1,23,29,80,256,47,13,0,0,0,0,0,2
135.236,59078.17147,39.95,-78.8,56,Allegheny,288,3,0,1,2,2,1,0,0,36,6,0,0,3,4,2,18,177,10,23,0,0,0,0,0,0
171.132,56253.79813,40.01,-78.9,57,Stony Cre,458,8,0,4,5,19,1,0,25,38,1,2,0,8,6,11,79,176,23,50,0,1,0,0,0,1
175.902,62608.23492,40.11,-78.82,58,Shade Twp,391,10,0,7,20,6,0,0,11,58,6,0,0,9,34,3,54,147,17,5,0,2,0,0,0,2
96.1415,51208.91527,40.12,-78.97,59,Quemahoni,349,4,0,5,4,3,1,0,8,25,4,1,0,0,27,7,34,186,16,22,0,0,0,0,0,2
107.189,42787.93108,39.84,-79.06,60,Summit Tw,338,6,0,6,4,7,0,0,9,22,1,2,0,13,23,7,38,165,18,14,0,0,0,0,0,3
128.464,51735.27979,39.76,-79.11,61,Elk Lick,393,6,0,5,7,13,0,0,5,47,6,5,0,13,31,10,59,150,23,10,0,0,0,0,0,3
187.463,78901.26872,39.77,-79.27,62,Addison T,548,8,0,11,9,25,5,0,0,84,13,2,0,14,27,4,40,246,27,5,0,23,0,0,0,5
175.988,58692.14421,40.23,-79,63,Conemaugh,491,14,0,3,16,5,3,0,7,33,21,0,0,15,48,7,57,230,7,12,0,11,0,0,0,2
175.404,63649.10546,40.14,-79.09,64,JennerS_L,316,4,0,0,1,3,1,0,2,32,8,1,0,2,19,11,32,182,11,5,0,0,0,0,0,2
83.8772,47875.52456,40.14,-79.24,65,Liogner_C,193,1,0,2,1,3,0,0,1,32,4,0,0,0,17,1,21,85,13,2,0,6,0,0,0,4
115.579,55359.70386,39.79,-78.81,66,Southampt,257,0,0,1,1,4,4,0,0,18,7,0,0,4,14,2,18,155,3,25,0,1,0,0,0,0
120.479,46485.64806,39.77,-78.95,67,Grenville,223,0,0,0,16,1,0,0,2,41,4,0,0,16,4,6,37,65,11,20,0,0,0,0,0,0
197.348,68233.7008,39.98,-79.6,68,Dunbar_Co,510,7,0,7,11,15,6,0,3,61,10,2,0,2,54,2,29,254,18,1,0,18,0,1,0,9
147.992,49704.07266,39.79,-80.47,69,Allepo_Sp,143,5,0,1,5,0,7,0,0,1,9,2,0,0,15,3,22,62,3,0,0,6,0,0,0,2
133.799,48784.53509,39.8,-80.35,70,Gilmore_J,138,1,0,1,3,0,4,0,2,2,16,1,0,0,17,5,14,57,4,0,0,7,0,0,0,4
112.166,57700.0589,40.24,-79.86,71,Elizabeth,456,22,0,5,29,2,5,0,2,6,22,11,0,0,73,11,66,176,6,0,0,1,0,1,0,18
90.9885,48511.0038,40.21,-78.85,72,Paint Twp,169,6,0,2,17,4,1,0,2,11,3,1,0,7,15,1,40,44,9,0,0,3,0,0,0,3
199.7,71460.2574,39.92,-79.14,73,Milford_B,477,2,0,7,10,10,3,0,2,28,16,1,0,11,18,12,79,215,29,26,0,8,0,0,0,0
172.345,76418.70005,40.52,-80.08,74,Sewickly_,189,3,0,1,1,0,0,0,1,1,1,2,0,0,27,1,14,121,12,1,0,0,0,1,0,2
318.546,83227.82593,40.62,-80,75,Marshall_,247,1,0,0,0,0,5,0,0,8,1,0,0,2,35,4,1,186,0,4,0,0,0,0,0,0
205.298,80923.54488,40.56,-79.81,76,Indiana_H,154,9,0,2,3,1,0,0,2,5,4,5,0,1,25,2,5,83,3,0,0,0,0,2,0,2
102.342,40485.32479,42.78,-72.62,77,Guilford,102,1,0,1,38,4,0,0,0,1,0,1,0,35,0,2,16,2,0,1,0,0,0,0,0,0
100.415,40611.41912,42.77,-72.28,78,Richmond_,62,2,0,0,11,7,0,0,0,1,0,1,0,15,0,0,11,10,0,4,0,0,0,0,0,0
101.638,45041.93959,42.51,-73.04,79,Windsor _,68,1,0,1,37,2,0,0,0,0,0,0,0,11,0,4,3,0,0,0,0,0,9,0,0,0
120.428,50568.39385,42.36,-72.21,80,Ware _Ree,171,5,0,1,2,1,0,0,0,6,0,1,0,2,9,0,3,92,0,46,3,0,0,0,0,0
183.927,74748.57631,42.64,-72.82,81,Charlemon,229,2,0,1,42,19,0,0,0,18,0,5,0,65,3,2,24,28,0,17,1,0,0,0,0,2
104.327,41209.10785,42.43,-73.06,82,Peru _No2,47,0,0,0,27,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,9,0,0,0
196.477,59960.88468,42.08,-72.97,83,Granville,127,8,0,0,36,14,0,0,0,15,0,2,0,23,3,1,7,16,0,2,0,0,0,0,0,0
158.656,69418.92662,42.51,-72.71,84,Conway _S,114,6,0,3,26,7,0,0,0,9,0,3,0,30,1,1,21,5,0,1,0,0,1,0,0,0
